frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
66,2026-06-17T11:38:21.429,3.27,2.36,306.22,11,1,1,2,0,1,1,4,1
67,2026-06-17T11:38:21.855,3.41,2.41,293.04,11,1,1,2,0,1,1,4,1
68,2026-06-17T11:38:22.257,3.61,2.41,277.32,11,1,1,2,0,1,1,4,1
69,2026-06-17T11:38:22.649,3.75,2.56,266.95,11,1,1,2,0,1,1,4,1
70,2026-06-17T11:38:23.054,3.7,2.53,270.31,11,1,1,2,0,1,1,4,1
71,2026-06-17T11:38:23.460,3.6,2.4,278.06,11,1,1,2,0,1,1,4,1
72,2026-06-17T11:38:23.879,3.4,2.38,294.39,11,1,1,2,0,1,1,4,1
73,2026-06-17T11:38:24.296,3.51,2.48,284.73,10,1,1,1,1,1,1,3,1
74,2026-06-17T11:38:24.691,3.71,2.45,269.6,10,1,1,2,0,1,1,3,1
75,2026-06-17T11:38:25.088,3.62,2.52,276.31,10,1,1,2,0,1,1,3,1
76,2026-06-17T11:38:25.518,3.34,2.39,299.74,10,1,1,2,0,1,1,3,1
77,2026-06-17T11:38:25.927,3.49,2.37,286.15,11,1,1,2,0,1,1,4,1
78,2026-06-17T11:38:26.319,3.75,2.56,266.91,10,1,1,2,0,1,1,3,1
79,2026-06-17T11:38:26.778,3.08,2.23,325.04,10,1,1,2,0,1,1,3,1
80,2026-06-17T11:38:27.172,3.65,2.46,274.05,10,1,1,2,0,1,1,3,1
81,2026-06-17T11:38:27.542,4.03,2.7,247.85,11,1,1,2,0,1,1,4,1
82,2026-06-17T11:38:27.947,3.69,2.55,271.33,11,1,1,2,0,1,1,4,1
83,2026-06-17T11:38:28.314,4.15,2.64,240.86,10,1,1,2,0,1,1,3,1
84,2026-06-17T11:38:28.707,3.71,2.54,269.49,11,1,1,2,0,1,1,4,1
85,2026-06-17T11:38:29.093,3.95,2.67,253.29,11,1,1,2,0,1,1,4,1
86,2026-06-17T11:38:29.488,3.66,2.45,272.87,11,1,1,2,0,1,1,4,1
