frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
66,2026-06-16T07:24:07.214,93.34,31.88,10.71,10,1,2,1,1,1,0,3,1
67,2026-06-16T07:24:07.245,94.26,31.42,10.61,10,1,3,0,1,1,0,3,1
68,2026-06-16T07:24:07.284,61.57,25.99,16.24,11,1,3,1,1,1,0,3,1
69,2026-06-16T07:24:07.311,85.58,36.65,11.69,10,1,2,1,1,1,0,3,1
70,2026-06-16T07:24:07.342,90.45,32.53,11.06,10,1,2,1,1,1,0,3,1
71,2026-06-16T07:24:07.374,91.76,30.65,10.9,10,1,2,1,1,1,0,3,1
72,2026-06-16T07:24:07.404,96.93,32.91,10.32,9,1,2,0,1,1,0,3,1
73,2026-06-16T07:24:07.436,96.52,31.08,10.36,10,2,2,0,1,1,0,3,1
74,2026-06-16T07:24:07.486,90.97,20.48,10.99,10,1,3,0,1,1,0,3,1
75,2026-06-16T07:24:07.518,86.6,30.41,11.55,9,1,2,0,1,1,0,3,1
76,2026-06-16T07:24:07.549,96.87,32.83,10.32,12,1,5,0,1,1,0,3,1
77,2026-06-16T07:24:07.588,59.05,25.5,16.93,11,1,4,0,1,1,0,3,1
78,2026-06-16T07:24:07.613,95.99,40.49,10.42,11,1,3,1,1,1,0,3,1
79,2026-06-16T07:24:07.645,96.38,31.41,10.38,9,1,1,1,1,1,0,3,1
80,2026-06-16T07:24:07.679,84.54,29.06,11.83,11,1,4,0,1,1,0,3,1
81,2026-06-16T07:24:07.709,89.35,32.85,11.19,10,1,3,0,1,1,0,3,1
82,2026-06-16T07:24:07.742,86.86,30.42,11.51,10,1,3,0,1,1,0,3,1
83,2026-06-16T07:24:07.773,95.85,32.77,10.43,11,1,3,1,1,1,0,3,1
84,2026-06-16T07:24:07.804,95.51,31.46,10.47,10,1,3,0,1,1,0,3,1
85,2026-06-16T07:24:07.838,91.24,30.61,10.96,10,1,3,0,1,1,0,3,1
86,2026-06-16T07:24:07.869,92.57,31.53,10.8,8,1,1,0,1,1,0,3,1
87,2026-06-16T07:24:07.917,97.62,20.87,10.24,13,1,6,0,1,1,0,3,1
88,2026-06-16T07:24:07.950,86.69,30.1,11.54,8,1,1,0,1,1,0,3,1
89,2026-06-16T07:24:07.981,96.33,32.6,10.38,9,1,1,1,1,1,0,3,1
90,2026-06-16T07:24:08.012,97.3,31.56,10.28,9,1,2,0,1,1,0,3,1
91,2026-06-16T07:24:08.045,95.89,31.09,10.43,10,1,3,0,1,1,0,3,1
92,2026-06-16T07:24:08.076,97.49,31.46,10.26,9,1,2,0,1,1,0,3,1
93,2026-06-16T07:24:08.116,57.1,25.01,17.51,9,1,1,1,1,1,0,3,1
94,2026-06-16T07:24:08.151,51.29,29.13,19.5,11,1,3,1,1,1,0,3,1
95,2026-06-16T07:24:08.175,86.75,42.17,11.53,8,1,1,0,1,1,0,3,1
96,2026-06-16T07:24:08.208,77.51,29.99,12.9,9,1,2,0,1,1,0,3,1
97,2026-06-16T07:24:08.237,92.79,34.13,10.78,9,1,2,0,1,1,0,3,1
98,2026-06-16T07:24:08.269,94.62,31.53,10.57,9,1,2,0,1,1,0,3,1
99,2026-06-16T07:24:08.316,96.73,20.91,10.34,10,1,3,0,1,1,0,3,1
100,2026-06-16T07:24:08.348,95.17,31.28,10.51,9,1,2,0,1,1,0,3,1
