frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
66,2026-06-17T12:38:02.942,3.78,2.91,264.54,9,1,1,1,1,1,1,2,1
67,2026-06-17T12:38:03.289,3.78,2.88,264.24,9,1,1,1,1,1,0,3,1
68,2026-06-17T12:38:03.609,4.29,3.18,233.2,9,1,1,1,1,1,0,3,1
69,2026-06-17T12:38:03.906,4.5,3.31,222.3,9,1,1,1,1,1,0,3,1
70,2026-06-17T12:38:04.202,4.5,3.37,222.26,10,1,1,1,1,1,1,3,1
71,2026-06-17T12:38:04.497,4.56,3.4,219.29,10,1,1,1,1,1,1,3,1
72,2026-06-17T12:38:04.802,4.45,3.34,224.72,9,1,1,1,1,1,0,3,1
73,2026-06-17T12:38:05.095,4.47,3.34,223.94,9,1,1,1,1,1,0,3,1
74,2026-06-17T12:38:05.402,4.31,3.26,232.04,9,1,1,1,1,1,0,3,1
75,2026-06-17T12:38:05.701,4.44,3.35,225.22,9,1,1,1,1,1,0,3,1
76,2026-06-17T12:38:05.999,4.54,3.41,220.26,9,1,1,1,1,1,0,3,1
77,2026-06-17T12:38:06.303,4.37,3.25,228.75,9,1,1,1,1,1,0,3,1
78,2026-06-17T12:38:06.647,3.78,2.91,264.72,9,1,1,1,1,1,0,3,1
79,2026-06-17T12:38:07.021,3.38,2.67,295.59,9,1,1,1,1,1,0,3,1
80,2026-06-17T12:38:07.380,3.59,2.83,278.87,9,1,1,1,1,1,0,3,1
81,2026-06-17T12:38:07.722,3.73,2.87,268.42,9,1,1,1,1,1,0,3,1
82,2026-06-17T12:38:08.053,3.9,3.02,256.43,9,1,1,1,1,1,0,3,1
83,2026-06-17T12:38:08.402,3.62,2.86,276.34,9,1,1,1,1,1,0,3,1
84,2026-06-17T12:38:08.780,3.35,2.69,298.83,9,1,1,1,1,1,0,3,1
85,2026-06-17T12:38:09.103,3.95,3.04,253.05,9,1,1,1,1,1,0,3,1
86,2026-06-17T12:38:09.445,3.71,2.92,269.87,9,1,1,1,1,1,0,3,1
87,2026-06-17T12:38:09.822,3.3,2.66,303.08,9,1,1,1,1,1,0,3,1
88,2026-06-17T12:38:10.161,3.8,3.0,263.31,9,1,1,1,1,1,0,3,1
89,2026-06-17T12:38:10.539,3.55,2.63,281.82,9,1,1,1,1,1,0,3,1
90,2026-06-17T12:38:10.897,3.57,2.78,279.99,9,1,1,1,1,1,0,3,1
91,2026-06-17T12:38:11.228,3.89,3.02,257.05,10,1,1,1,1,1,1,3,1
92,2026-06-17T12:38:11.576,3.74,2.92,267.49,10,1,2,1,1,1,0,3,1
93,2026-06-17T12:38:11.933,3.52,2.75,284.14,9,1,1,1,1,1,0,3,1
94,2026-06-17T12:38:12.279,3.65,2.9,273.82,9,1,1,1,1,1,0,3,1
95,2026-06-17T12:38:12.639,3.56,2.79,281.24,10,1,1,1,1,1,1,3,1
96,2026-06-17T12:38:12.990,3.74,2.88,267.22,9,1,1,1,1,1,0,3,1
97,2026-06-17T12:38:13.330,3.72,2.9,268.61,9,1,1,1,1,1,0,3,1
98,2026-06-17T12:38:13.663,3.81,2.99,262.5,9,1,1,1,1,1,0,3,1
99,2026-06-17T12:38:13.985,4.08,3.12,245.21,9,1,1,1,1,1,0,3,1
100,2026-06-17T12:38:14.338,3.67,2.87,272.23,9,1,1,1,1,1,0,3,1
101,2026-06-17T12:38:14.692,3.58,2.79,279.25,9,1,1,1,1,1,0,3,1
102,2026-06-17T12:38:15.042,3.67,2.85,272.7,9,1,1,1,1,1,0,3,1
103,2026-06-17T12:38:15.432,3.17,2.56,315.77,8,1,1,1,1,1,0,3,0
104,2026-06-17T12:38:15.783,3.7,2.9,270.11,9,1,1,1,1,1,0,3,1
105,2026-06-17T12:38:16.123,3.78,2.9,264.68,9,1,1,1,1,1,0,3,1
